Main Folder,Sub Folder,File Type,Accuracy F1-Score
fv_ventral_mixed,_29,classification_results_test.xlsx,0.4750
fv_ventral_mixed,_3,classification_results_test.xlsx,0.5000
fv_ventral_mixed,_30,classification_results_test.xlsx,0.5500
fv_ventral_mixed,_31,classification_results_test.xlsx,0.5000
fv_ventral_mixed,_32,classification_results_test.xlsx,0.4250
fv_ventral_mixed,_33,classification_results_test.xlsx,0.4500
fv_ventral_mixed,_34,classification_results_test.xlsx,0.5000
fv_ventral_mixed,_35,classification_results_test.xlsx,0.4250
fv_ventral_mixed,_36,classification_results_test.xlsx,0.5500
fv_ventral_mixed,_37,classification_results_test.xlsx,0.5000
fv_ventral_mixed,_38,classification_results_test.xlsx,0.5000
fv_ventral_mixed,_39,classification_results_test.xlsx,0.5000
fv_ventral_mixed,_4,classification_results_test.xlsx,0.4750
fv_ventral_mixed,_40,classification_results_test.xlsx,0.5000
fv_ventral_mixed,_41,classification_results_test.xlsx,0.5000
fv_ventral_mixed,_42,classification_results_test.xlsx,0.4750
fv_ventral_mixed,_43,classification_results_test.xlsx,0.4750
fv_ventral_mixed,_44,classification_results_test.xlsx,0.5000
fv_ventral_mixed,_45,classification_results_test.xlsx,0.5000
fv_ventral_mixed,_46,classification_results_test.xlsx,0.4500
fv_ventral_mixed,_47,classification_results_test.xlsx,0.5000
fv_ventral_mixed,_48,classification_results_test.xlsx,0.5000
fv_ventral_mixed,_49,classification_results_test.xlsx,0.3250
fv_ventral_mixed,_5,classification_results_test.xlsx,0.4250
fv_ventral_mixed,_50,classification_results_test.xlsx,0.4000
fv_ventral_mixed,_51,classification_results_test.xlsx,0.5750
fv_ventral_mixed,_52,classification_results_test.xlsx,0.5250
fv_ventral_mixed,_53,classification_results_test.xlsx,0.5000
fv_ventral_mixed,_54,classification_results_test.xlsx,0.4000
fv_ventral_mixed,_55,classification_results_test.xlsx,0.4750
fv_ventral_mixed,_56,classification_results_test.xlsx,0.5000
fv_ventral_mixed,_57,classification_results_test.xlsx,0.4750
fv_ventral_mixed,_58,classification_results_test.xlsx,0.4500
fv_ventral_mixed,_59,classification_results_test.xlsx,0.5250
fv_ventral_mixed,_6,classification_results_test.xlsx,0.5000
fv_ventral_mixed,_60,classification_results_test.xlsx,0.5500
fv_ventral_mixed,_61,classification_results_test.xlsx,0.5500
fv_ventral_mixed,_62,classification_results_test.xlsx,0.4500
fv_ventral_mixed,_63,classification_results_test.xlsx,0.5000
fv_ventral_mixed,_64,classification_results_test.xlsx,0.4500
fv_ventral_mixed,_65,classification_results_test.xlsx,0.4750
fv_ventral_mixed,_66,classification_results_test.xlsx,0.5000
fv_ventral_mixed,_67,classification_results_test.xlsx,0.5000
fv_ventral_mixed,_68,classification_results_test.xlsx,0.5250
fv_ventral_mixed,_69,classification_results_test.xlsx,0.5500
